"product-ratingsContainer","product-ratingsCount","product-separator","product-base href","img-responsive src","product-brand","product-product","product-sizeInventoryPresent","product-sizeInventoryPresent 2","product-sizeInventoryPresent 3","product-sizeInventoryPresent 4","product-sizeInventoryPresent 5","product-discountedPrice","product-strike","product-discountPercentage","product-sizeButton","product-sizeButton 2","product-sizeButton 3","product-sizeButton 4","product-sizeButton 5","xcelerator-plpXceleratorImageTag"
"3.6","9","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-jet-black-rapid-dry-typography-tshirts/17861094/buy","","HRX by Hrithik Roshan","Training Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL","NEW SEASON"
"4.5","23","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-rose-coloured-printed-rapid-dry-t-shirt-with-reflective-strips/19019450/buy","","HRX by Hrithik Roshan","Women Brand Logo Printed T-shirt","XS,","S,","M,","L,","XL","Rs. 399","Rs. 799","(50% OFF)","XS","S","M","L","XL","NEW SEASON"
"4.6","1.6k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-ankle-length-pack-of-3-terry-socks/10986440/buy","","HRX by Hrithik Roshan","Women Training Socks","Onesize","","","","","Rs. 244","Rs. 699","(65% OFF)","Onesize","","","","",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-blue-brand-logo-print-detail-t-shirt/19468252/buy","","HRX by Hrithik Roshan","Print Detail T-shirt","S,","M,","L,","XL,","XXL","Rs. 479","Rs. 799","(40% OFF)","S","M","L","XL","XXL",""
"4.4","134","|","https://www.myntra.com/shorts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-u-17-boys-green-solid-regular-fit-rapid-dry-antimicrobial-active-shorts/13430764/buy","","HRX by Hrithik Roshan","Boys Regular Fit Sports Shorts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 389","Rs. 1299","(70% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y","NEW SEASON"
"4.5","2.6k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-ankle-length-pack-of-3-terry-socks/976823/buy","","HRX by Hrithik Roshan","Women Training Socks","Onesize","","","","","Rs. 324","Rs. 499","(35% OFF)","Onesize","","","","",""
"4.7","41","|","https://www.myntra.com/caps/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-unisex-charcoal-grey-printed-beanie/7157904/buy","","HRX by Hrithik Roshan","Unisex Printed Beanie","Onesize","","","","","Rs. 399","Rs. 999","(60% OFF)","Onesize","","","","",""
"4.3","3k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-quarter-length-pack-of-3-socks/2510306/buy","","HRX by Hrithik Roshan","Men Training Socks","Onesize","","","","","Rs. 324","Rs. 499","(35% OFF)","Onesize","","","","",""
"4.4","164","|","https://www.myntra.com/innerwear-vests/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-men-solid-antimicrobial-lifestyle-innerwear-vest/14097322/buy","","HRX by Hrithik Roshan","Lifestyle Innerwear Vest","S,","M,","L,","XL","","Rs. 301","Rs. 549","(45% OFF)","S","M","L","XL","",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-training-men-jet-black-rapid-dry-solid-tshirts/17861264/buy","","HRX by Hrithik Roshan","Training Rapid-Dry Tshirts","S,","M,","L,","XL,","XXL","Rs. 404","Rs. 899","(55% OFF)","S","M","L","XL","XXL","NEW SEASON"
"4.6","1.3k","|","https://www.myntra.com/socks/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-ankle-length-pack-of-3-terry-socks/10986394/buy","","HRX by Hrithik Roshan","Women Training Socks","Onesize","","","","","Rs. 244","Rs. 699","(65% OFF)","Onesize","","","","",""
"4.2","20","|","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-u-17-lifestyle-girls-neon-green-rapid-dry-solid-tshirts/14701928/buy","","HRX by Hrithik Roshan","U-17 Girls Lifestyle Tshirts","8-9Y,","10-11Y,","12-13Y,","14-15Y,","16-17Y","Rs. 239","Rs. 799","(70% OFF)","8-9Y","10-11Y","12-13Y","14-15Y","16-17Y","NEW SEASON"
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-black-solid-t-shirt/19475194/buy","","HRX by Hrithik Roshan","Women Solid T-shirt","XS,","S,","M,","L,","XL","Rs. 479","Rs. 799","(40% OFF)","XS","S","M","L","XL",""
"","","","https://www.myntra.com/tshirts/hrx-by-hrithik-roshan/hrx-by-hrithik-roshan-women-sage-green-brand-logo-rapid-dry-running-t-shirt/18657752/buy","","HRX by Hrithik Roshan","Brand Logo Running T-shirt","XS,","S,","M,","L,","XL","Rs. 405","Rs. 699","(42% OFF)","XS","S","M","L","XL",""
