Mobile Phone,Total Ratings, Price ,Text1,Model Name,OS,Display,Display Type,Battery Capacity,,
"        Tecno Spark 8 Pro (Turquoise Cyan, 7GB Expandable RAM 64GB Storage) 33W Fast Charger | Helio G85 Gaming Processor | 6.8""(17.2cm) FHD+Dot-in Display | 48MP Triple Camera       ","3,792 ratings"," ₹ 8,999.00 ",Tecno,Tecno Spark 8 Pro (4/64GB),HiOS 7.6 based on Android 11,         6.8 inches    ,         LTPS    ,5000,,
"        Tecno Spark 8T (Turquoise Cyan,7GB Expandable RAM, 64GB Storage)| 50MP AI Camera | 6.6"" (16.7cm) FHD+Display | 5000mAh       ","5,890 ratings"," ₹ 8,499.00 ",Tecno,Tecno Spark 8T(4/64GB),HiOS 7.6 based on Android 11,         6.6 inches    ,         LCD    ,5000,,
"        Tecno Spark 9 (Infinity Black, 6GB RAM, 128GB Storage)| Upto 11GB Expandable RAM | 90Hz Refresh Rate | 6.6"" HD+Display | 13MP Dual Camera | 5000mAh Battery | Helio G37 Gaming Processor       ","1,060 ratings"," ₹ 9,499.00 ",Tecno,Spark 9,HiOS 8.6 based on Android 12,         6.6 inches    ,         IPS    ,5000,,
"        Redmi 10A (Charcoal Black, 3GB RAM, 32GB Storage) | 2 Ghz Octa Core Helio G25 | 5000 mAh Battery | Finger Print Sensor | Upto 5GB RAM with RAM Booster       ","5,292 ratings"," ₹ 8,499.00 ",Redmi,Redmi 10A,MIUI 12.5,         6.53 inches    ,         LCD    ,5000,,
"        JioFi Next 32 GB, 2 GB RAM, Blue Smartphone       ",577 ratings,,JioFi,JIO PHONE NEXT,Android 10.0,         5.45 inches    ,         HD    ,         3500 Milliamp Hours    ,,
"        Tecno Spark 8T (Atlantic Blue,7GB Expandable RAM, 64GB Storage)| 50MP AI Camera | 6.6""(16.764cm) FHD+Display | 5000mAh       ","5,890 ratings"," ₹ 8,499.00 ",Tecno,Tecno Spark 8T(4/64GB),HiOS 7.6 based on Android 11,         6.6 inches    ,         LCD    ,5000,,
"        Redmi 10 (Midnight Black, 4GB RAM, 64GB Storage)       ",468 ratings,,Redmi,10,Android 11,         6.7 inches    ,         LCD    ,6000,,
"        Nokia C01 Plus 4G, 5.45” HD+ Screen, Selfie Camera with Front Flash | 32GB Storage (Blue)       ","2,281 ratings"," ₹ 6,299.00 ",Nokia,Nokia C01 Plus,Android 11 (Go edition),         5.45 inches    ,         TFT    ,3000,,
"        Redmi 10 (Caribbean Green, 4GB RAM, 64GB Storage)       ",468 ratings,,Redmi,10,Android 11,         6.7 inches    ,         LCD    ,6000,,
"        Redmi 9A Sport (Coral Green, 3GB RAM, 32GB Storage) | 2GHz Octa-core Helio G25 Processor | 5000 mAh Battery       ","2,029 ratings"," ₹ 7,999.00 ",Redmi,Redmi 9A Sport,MIUI 12,         6.53 inches    ,         hd+    ,5000,,
