Model_Name,Display_Final,Battery_Final,Front_Camera_Final,RAM_Final,Rear_Camera_Final,Processor_Final,Price,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi 9i,Screen Size 6.53 inches (16.59 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 4 GB,Rear Camera 13 MP,"Processor Octa core, 2 GHz, Cortex A53","8,799",,,,,,,,,,,,,,,,,,,,,,,
Vivo Y1s,Screen Size 6.22 inches (15.8 cm),Battery 4030 mAh,Front Camera 5 MP,RAM 3 GB,Rear Camera 13 MP,"Processor Octa core, 2.3 GHz, Cortex A53","9,490",,,,,,,,,,,,,,,,,,,,,,,
Tecno Camon 16,Screen Size 6.8 inches (17.27 cm),Battery 5000 mAh,Front Camera 16 MP,RAM 4 GB,Rear Camera 64 MP + 2 MP + 2 MP,"Processor Octa core (2 GHz, Dual core, Cortex A76 + 1.7 GHz, Hexa Core, Cortex A55)","9,999",,,,,,,,,,,,,,,,,,,,,,,
OPPO A5 2020,Screen Size 6.5 inches (16.51 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 12 MP + 8 MP + 2 MP + 2 MP,"Processor Octa core (2 GHz, Quad core, Kryo 260 + 1.8 GHz, Quad core, Kryo 260)","9,990",,,,,,,,,,,,,,,,,,,,,,,
OPPO A12,Screen Size 6.22 inches (15.8 cm),Battery 4230 mAh,Front Camera 5 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core, 2.3 GHz, Cortex A53","7,990",,,,,,,,,,,,,,,,,,,,,,,
Vivo Y11 2019,Screen Size 6.35 inches (16.13 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 3 GB,Rear Camera 13 MP + 2 MP,"Processor Octa core (1.95 GHz, Quad core, Cortex A53 + 1.45 GHz, Quad core, Cortex A53)","9,490",,,,,,,,,,,,,,,,,,,,,,,
Tecno Spark 6 Air,Screen Size 7.0 inches (17.78 cm),Battery 6000 mAh,Front Camera 8 MP,RAM 2 GB,Rear Camera 13 MP + 2 MP,"Processor Quad core, 1.8 GHz, Cortex A53","7,690",,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi 8A,Screen Size 6.22 inches (15.8 cm),Battery 5000 mAh,Front Camera 8 MP,RAM 2 GB,Rear Camera 12 MP,"Processor Octa core (1.95 GHz, Quad core, Cortex A53 + 1.45 GHz, Quad core, Cortex A53)","7,999",,,,,,,,,,,,,,,,,,,,,,,
Xiaomi Redmi 9A,Screen Size 6.53 inches (16.59 cm),Battery 5000 mAh,Front Camera 5 MP,RAM 3 GB,Rear Camera 13 MP,"Processor Octa core, 2 GHz, Cortex A53","7,999",,,,,,,,,,,,,,,,,,,,,,,
Kara S5,Screen Size 5.0 inches (12.7 cm),Battery 2200 mAh,Front Camera 2 MP,RAM 1 GB,Rear Camera 5 MP,"Processor Quad core, 1.3 GHz","1,499",,,,,,,,,,,,,,,,,,,,,,,
