Product Name,Sum of Price,Shipping Mode,Category,Sub-Category
Business Development Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Bengaluru
Business Development Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Chennai
Business Development Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Mumbai
Business Development Internship Training Program,"₹ 9,999",Paid Shipping!,Services,Training Internship Work From Home
Candytech AirCandy Bluetooth Earbuds(White),"₹ 1,299",Free Shipping!,Mobiles,Headphones
Candytech H111i Supersonic Bass earphone Wired Headset With Mic,₹ 299,Free Shipping!,Accessories,SpareParts
Candytech H111i Supersonic Bass earphone Wired Headset With Mic,₹ 299,Free Shipping!,Laptops,Computers Accessories
Candytech H111i Supersonic Bass earphone Wired Headset With Mic,₹ 299,Free Shipping!,Laptops,Laptop Accessories
Candytech H111i Supersonic Bass earphone Wired Headset With Mic,₹ 299,Free Shipping!,Mobiles,Mobiles Accessories
Candytech Power Series CT-PB10i 20000 mAh Power Bank,"₹ 1,299",Free Shipping!,Mobiles,Mobiles Accessories
Candytech Power Series CT-PB9i 10000 mAh Power Bank,₹ 899,Free Shipping!,Mobiles,Mobiles Accessories
Candytech SPEEDO Dual USB Charger with 2.6 Amp Power,₹ 299,Free Shipping!,Mobiles,Mobiles Accessories
Car Charger with Dual USB,₹ 399,Free Shipping!,Accessories,SpareParts
Car Charger with Dual USB,₹ 399,Free Shipping!,Mobiles,Mobiles Accessories
Carpenter Service and Wood Worker Supply Service,₹ 399,Paid Shipping!,Services,Bengaluru
Carpenter Service and Wood Worker Supply Service,₹ 399,Paid Shipping!,Services,Chennai
Carpenter Service and Wood Worker Supply Service,₹ 399,Paid Shipping!,Services,Mumbai
Cash On Delivery Services,₹ 99,Free Shipping!,Services,Bengaluru
Cash On Delivery Services,₹ 99,Free Shipping!,Services,Chennai
Casio MJ-12SA Desktop Calculator -Black,₹ 260,Paid Shipping!,Laptops,Computers Accessories
Casio MJ-12SA Desktop Calculator -Black,₹ 260,Paid Shipping!,Laptops,Laptop Accessories
Casual Leather Sneakers for Men (Red+Blue),₹ 799,Free Shipping!,Fasion,Kids
Casual Leather Sneakers for Men (Red+Blue),₹ 799,Free Shipping!,Fasion,Men
Casual Sneakers Leather for Men (White+Black),₹ 799,Free Shipping!,Fasion,Kids
Casual Sneakers Leather for Men (White+Black),₹ 799,Free Shipping!,Fasion,Men
Chetan Bhagat Book Series,₹ 150,Free Shipping!,Accessories,Books
